"rank","track","artist","billed_artist_count","is_collaboration","spotify_streams_total","daily_streams","daily_streams_rank","daily_stream_share_pct"
408,378,328,1,1,-0.367549547118314,-0.613573926308049,598,-0.833353468254546
409,10,155,1,1,-0.368292979235705,-0.164525668207808,286,0.36073417579564
410,563,337,1,1,-0.368658933879828,-0.715362307583908,695,-1.10260852524625
411,667,368,1,1,-0.370230139826405,0.000760023944627481,219,0.80468983832712
412,172,87,1,1,-0.372346403061359,1.16430120632237,59,3.91868310614427
413,566,45,1,1,-0.373700737893575,-0.613086828373217,596,-0.827950356743007
414,1,28,1,1,-0.376467783145399,-0.221748899047668,309,0.224755869421901
415,460,312,1,1,-0.377454992255499,-0.150076533008169,279,0.419267883837316
416,509,346,1,1,-0.380120707935745,-0.528111947051472,521,-0.59471604316156
417,380,269,1,1,-0.380259560195628,-0.467804481057871,469,-0.431722179230124
418,503,178,1,1,-0.3803274489845,-0.575181556780727,563,-0.720788645097477
419,280,311,1,1,-0.381504575138104,-0.0114001820214173,223,0.803789319741863
420,416,198,1,1,-0.382570236835273,-0.432994221122106,439,-0.334466172022417
421,609,142,1,1,-0.386828107746204,0.120534388699154,192,1.17840505120859
422,111,203,1,1,-0.388083686486877,-0.68098526306806,664,-1.00355148086803
423,117,359,1,1,-0.388606266788579,-0.214479070135319,306,0.269781798684729
424,482,161,1,1,-0.389788501348246,-0.554559640672411,547,-0.656851825544262
425,141,267,1,1,-0.39013326092646,-0.675655204692656,656,-0.988242664918673
426,134,336,1,1,-0.390956037192356,-0.618940624793596,603,-0.83245294966929
427,51,7,1,1,-0.391306729268553,-0.42377384516983,438,-0.297544910026898
428,34,86,1,1,-0.392796966979038,0.323552928396351,142,1.75653798294329
429,188,251,1,1,-0.399276290916555,-0.319739640672309,371,0.00142726027827661
430,459,209,1,1,-0.399375263874392,-0.48796731813911,486,-0.46414084829936
431,43,348,1,1,-0.399976258209155,-0.537386205518663,533,-0.600119154673099
432,478,242,1,1,-0.402277093938253,0.424696874793825,123,2.07802311787988
433,558,165,2,2,-0.404201632910577,-0.466119035991326,465,-0.397502472990375
434,425,41,1,1,-0.405704188626624,-0.247427150355618,326,0.215750683569336
435,583,102,1,1,-0.407873425068598,-0.572155514743093,561,-0.690171013198755
436,386,12,1,1,-0.408268830155596,-0.737689066464138,712,-1.15393808460588
437,411,258,1,1,-0.409598827770249,-0.600842565683904,587,-0.769416648701331
438,626,12,1,1,-0.409623285469087,-0.755802212678006,723,-1.20436712538024
439,24,243,1,1,-0.410514471002962,-0.615436106023516,599,-0.809939985037876
440,623,337,1,1,-0.414812279046951,-0.75426979395382,722,-1.19986453245396
441,645,286,1,1,-0.414955434897979,0.815151130874766,80,3.24329416720186
442,199,200,1,1,-0.415490872961356,-0.594779705105655,581,-0.747804202655174
443,191,162,1,1,-0.416085476969289,0.79396452601014,83,3.19016357067172
444,200,244,1,1,-0.416823400682785,-0.53075434558291,525,-0.564998929848094
445,278,189,1,1,-0.416847935489639,-0.52937064259989,523,-0.560496336921811
446,428,286,1,1,-0.417893076816039,0.364285954371587,137,1.98076711067218
447,624,31,1,1,-0.420060144595061,0.0582591332608526,202,1.1180703059964
448,498,167,1,1,-0.420225950925801,-0.613039411760091,595,-0.795531687673771
449,329,147,1,1,-0.424638712563951,-0.100918437000805,254,0.67681619922069
450,201,219,1,1,-0.424864104114085,-0.690151756505421,673,-1.01345718530586
451,148,400,1,1,-0.424974513154551,-0.550904250860569,543,-0.613626933451948
452,47,279,1,1,-0.427241749065659,-0.416786360635637,435,-0.225503423206374
453,629,372,1,1,-0.427645404710374,-0.257561373760854,334,0.234661573859723
454,181,36,1,1,-0.42772768860199,-0.639924631402141,617,-0.867573174494295
455,52,118,1,1,-0.428741557808635,-0.290513764582347,350,0.141908159578299
456,57,148,1,1,-0.429211010687286,-0.655100102902836,633,-0.910798066586609
457,261,269,1,1,-0.430242248474544,-0.222074349437755,311,0.342723804090509
458,313,378,1,1,-0.4306227861722,-0.369654247189081,403,-0.0832214867358391
459,502,378,1,1,-0.431545985990485,-0.362563308226251,399,-0.061609040689682
460,62,276,1,1,-0.431697975528601,-0.595572855725205,582,-0.736997979632095
461,534,291,1,1,-0.432888749801044,-0.255985849024736,332,0.250870908394341
462,553,46,1,1,-0.432979284250376,-0.24874619432074,328,0.271582835855242
463,656,120,1,1,-0.434358886415598,-0.674146494275033,655,-0.963028144531489
464,89,52,1,1,-0.434991952865782,-0.679931321076321,660,-0.979237479066107
465,725,144,1,1,-0.43657604548954,-0.154872076835615,282,0.554345671625799
466,676,169,1,1,-0.436775061278937,-0.534920541636147,529,-0.555093225410272
467,358,399,1,1,-0.436956833788247,-0.454290746317159,460,-0.319157356073056
468,64,355,1,1,-0.437602271255755,-0.497200625894965,495,-0.444329439423716
469,303,18,1,1,-0.439643026466003,-0.451253927776542,458,-0.306550095879464
470,665,133,1,1,-0.441368920731257,-0.558609450493432,551,-0.619930563548744
471,674,257,1,1,-0.442286298894331,-0.476656300608127,476,-0.377691064114731
472,466,378,1,1,-0.442298212082809,-0.0752682046006098,243,0.803789319741863
473,392,369,1,1,-0.443271695966054,-0.578528738607254,570,-0.676663234419906
474,726,296,1,1,-0.445680993758213,-0.660934501617845,640,-0.918002215268662
475,468,201,1,1,-0.447063579039805,-0.528086083444313,520,-0.523575074926293
476,463,355,1,1,-0.449102261972122,-0.467701026629234,468,-0.341670320704469
477,434,387,1,1,-0.454759995179489,-0.174327975321167,292,0.54624100435849
478,101,320,1,1,-0.455278469479337,-0.617940565316771,601,-0.783824946065436
479,385,182,1,1,-0.455724361039837,-0.641868712540278,619,-0.854965914300703
480,333,358,1,1,-0.455969207906268,-0.720677278855136,700,-1.09180230222318
481,335,130,1,1,-0.456103183084136,-0.518447579176296,512,-0.483952257175004
482,274,129,1,1,-0.45743409635648,-0.476052816441078,473,-0.354277580898061
483,177,11,1,1,-0.45929410073863,0.422257074518469,124,2.35988543506518
484,394,278,1,1,-0.460007875185353,-0.628900268850507,610,-0.812641540793645
485,44,215,1,1,-0.460731018256024,-0.152520643884719,281,0.629088714202093
486,208,225,1,1,-0.461141902777242,-0.596370316945949,584,-0.713584496415425
487,96,229,1,1,-0.462606487614641,-0.351097109052313,390,0.0320448921769992
488,389,305,1,1,-0.463672245696829,-0.587027088859667,575,-0.682966864516702
489,306,286,1,1,-0.464306998884865,-0.266225682159206,337,0.293195281901399
490,501,160,1,1,-0.464400453800304,-0.278778152833833,343,0.255373501320624
491,497,249,1,1,-0.464984797622854,-0.649582533375527,625,-0.872075767420578
492,630,394,1,1,-0.465367171455142,-0.577157967427813,566,-0.651448714032723
493,262,376,1,1,-0.467983981376215,-0.459422517037675,461,-0.288539724174333
494,167,263,1,1,-0.468615973133426,-0.372889353384585,405,-0.0228867415236503
